,Title,Tags
28,A Cure for Wellness,"an ambiti young execut is sent to retriev hi company' ceo from an idyl but mysteri ""well center"" at a remot locat in the swiss alp but soon suspect that the spa' miracul treatment are not what they seem. horror mysteri scienc fiction thriller dane dehaan mia goth jason isaac gore verbinski"
29,Fist Fight,"when one school teacher get the other fired, he is challeng to an after-school fight. comedi ice cube charli day christina hendrick richi keen"
30,American Fable,"when 11-year-old gitti discov that her father, abe, a good and belov farmer, is hold a wealthi man hostag in their abandon silo in order to save their suffer farm, she befriend the captiv in secret. as the truth unfold about who he is and what will happen if he escapes, gitti choos to confront the thin line between realiti and fiction. drama thriller peyton kennedi richard schiff kip pardu ann hamilton"
31,XX,thi all-femal horror antholog featur four dark tale from four fierc talent women. horror natali brown melani lynskey breeda wool jovanka vuckov anni clark roxann benjamin karyn kusama
32,Lovesong,"neglect by her husband, sarah embark on an impromptu road trip with her young daughter and her best friend, mindy. along the way, the dynam between the two friend intensifi befor circumst forc them apart. year later, sarah attempt to rebuild their intim connect in the day befor mindy’ wedding. drama romanc jena malon riley keough brooklyn decker so yong kim"
33,Get Out,"chri and hi girlfriend rose go upstat to visit her parent for the weekend. at first, chri read the family' overli accommod behavior as nervou attempt to deal with their daughter' interraci relationship, but as the weekend progresses, a seri of increasingli disturb discoveri lead him to a truth that he never could have imagined. mysteri thriller horror daniel kaluuya allison william catherin keener jordan peel"
34,Rock Dog,"when a radio fall from the sky into the hand of a wide-ey tibetan mastiff, he leav home to fulfil hi dream of becom a musician, set into motion a seri of complet unexpect events. adventur anim comedi famili music luke wilson eddi izzard j. k. simmon ash brannon"
35,Collide,"an american backpack get involv with a ring of drug smuggler as their driver, and wind up on the run from hi employ across munich' autobahns. thriller action nichola hoult felic jone marwan kenzari eran creevi"
36,The Girl with All the Gifts,"in the future, a strang fungu ha chang nearli everyon into a thoughtless, flesh-eat monster. when a scientist and a teacher find a girl who seem to be immun to the fungus, they all begin a journey to save humanity. drama horror thriller scienc fiction gemma arterton glenn close paddi considin colm mccarthi"
37,I Don't Feel at Home in This World Anymore,"when a depress woman is burglarized, she find a new sens of purpos by track down the thiev alongsid her obnoxi neighbor. but they soon find themselv danger out of their depth against a pack of degener criminals. comedi crime drama thriller melani lynskey elijah wood david yow macon blair"
38,Contemporary Color,"in the summer of 2015, legendari musician david byrn stage an event at brooklyn' barclay center to celebr the art of color guard: synchron danc routin involv flags, rifles, and sabers. recruit perform that includ the like of saint vincent, nelli furtado, ad-rock, and ira glass to collabor on origin piec with 10 color guard team from across the us and canada, contemporari color is a beauti film snapshot of a one-of-a-kind live event. documentari music turner ross bill ross iv (directors) turner ross bill ross iv"
39,Logan,"in the near future, a weari logan care for an ail professor x in a hideout on the mexican border. but logan' attempt to hide from the world and hi legaci are upend when a young mutant arrives, pursu by dark forces. action drama scienc fiction hugh jackman patrick stewart boyd holbrook jame mangold"
40,The Shack,"after suffer a famili tragedy, mack phillip spiral into a deep depress caus him to question hi innermost beliefs. face a crisi of faith, he receiv a mysteri letter urg him to an abandon shack deep in the oregon wilderness. despit hi doubts, mack journey to the shack and encount an enigmat trio of stranger led by a woman name papa. through thi meeting, mack find import truth that will transform hi understand of hi tragedi and chang hi life forever. drama fantasi sam worthington avraham aviv alush radha mitchel stuart hazeldin"
41,Before I Fall,"samantha kingston ha everything. then, everyth changes. after one fate night, she wake up with no futur at all. trap into reliv the same day over and over, she begin to question just how perfect her life realli was. drama mysteri thriller fantasi zoey deutch halston sage logan miller ry russo-young"
42,Table 19,"eloise, have been reliev of maid of honor duti after be unceremoni dump by the best man via text, decid to attend the wed anyway – onli to find herself seat with five fellow-unw guest at the dread tabl 19. comedi drama anna kendrick amanda crew stephen merchant jeffrey blitz"
43,The Last Word,"a retir businesswoman – who tri to control everyth around her – decid to write her own obituary. a young journalist take up the task of find out the truth, and the result is a life-alt friendship. comedi drama shirley maclain amanda seyfri mark pellington"
44,Catfight,the rivalri between two former colleg friend come to a head when they both attend the same glamor event. comedi drama alicia silverston ann hech sandra oh onur tukel
45,Donald Cried,"return home to work class warwick, rhode island, peter latang encount childhood friend donald treebeck for what start as a simpl favor and turn into a long van ride into two friend past. drama comedi kristoph avedisian jess wakeman louisa kraus kristoph avedisian"
46,Kong: Skull Island,"explor the mysteri and danger home of the king of the ape as a team of explor ventur deep insid the treacherous, primordi island. action adventur fantasi tom hiddleston brie larson samuel l. jackson jordan vogt-robert"
47,Burning Sands,"deep into hell week, a favor pledge is torn between honor hi code of silenc or stand up against the intensifi violenc of underground hazing. drama trevor jackson alfr woodard steve harri gerard mcmurray"
48,Beauty and the Beast,"follow the adventur of belle, a bright young woman who find herself in the castl of a princ who' been turn into a mysteri beast. with the help of the castle' enchant staff, bell soon learn the most import lesson of all -- that true beauti come from within. romanc famili anim fantasi emma watson dan steven luke evan bill condon"
49,The Belko Experiment,a group of eighti american worker are lock in their offic and order by an unknown voic to particip in a twist game. action thriller horror john gallagh jr. toni goldwyn adria arjona greg mclean
50,Song to Song,"in thi modern love stori set against the austin, texa music scene, two entangl coupl — struggl songwrit fay and bv, and music mogul cook and the waitress whom he ensnar — chase success through a rock ‘n’ roll landscap of seduct and betrayal. drama romanc ryan gosl michael fassbend rooney mara terrenc malick"
51,Atomica,"in the near future, when commun go offlin at a remot nuclear power plant isol in the desert, a young safeti inspector, abbi dixon, is forc to fli out to bring them back online. onc insid the facility, mysteri clue and strang behavior caus abbi to have doubt about the sanity, and perhap identities, of the two employe onsite. scienc fiction thriller domin monaghan tom sizemor sarah habel dagen merril"
52,All Nighter,"when a globe-trotting, workahol father tri to visit hi daughter on a last minut layov in lo angel discov that she’ disappeared, he forc her awkward, nervou ex-boyfriend, still nurs a broken heart, to help him find her over the cours of one increasingli crazi night. comedi j. k. simmon emil hirsch lio tipton gavin wiesen"
53,The Devil's Candy,a struggl painter is possess by satan forc after he and hi young famili move into their dream home in rural texas. drama horror thriller ethan embri shiri applebi kiara glasco sean byrn
54,Power Rangers,"saban' power ranger follow five ordinari teen who must becom someth extraordinari when they learn that their small town of angel grove — and the world — is on the verg of be obliter by an alien threat. chosen by destiny, our hero quickli discov they are the onli one who can save the planet. but to do so, they will have to overcom their real-lif issu and befor it’ too late, band togeth as the power rangers. scienc fiction action adventur dacr montgomeri naomi scott rj cyler dean israelit"
55,Life,"marcu and mike are forc to confront new threats, career changes, and midlif crise as they join the newli creat elit team ammo of the miami polic depart to take down the ruthless armando armas, the viciou leader of a miami drug cartel. thriller action crime jake gyllenha rebecca ferguson ryan reynold daniel espinosa"
56,CHiPs,the adventur of two california highway patrol motorcycl offic as they make their round on the freeway of lo angeles. action comedi crime dax shepard michael peña vincent d'onofrio dax shepard
57,Wilson,"middle-ag and divorced, wilson find himself lonely, smug, and obsess with hi past. comedi drama woodi harrelson laura dern isabella amara craig johnson"
58,Victor,eccentr scientist victor von frankenstein creat a grotesqu creatur in an unorthodox scientif experiment. drama scienc fiction thriller patrick davi nick eversman cortney palm brandon dickerson
59,Car Dogs,"malcolm is a brilliant, callou businessman who is a vicious, overbear father. mark is the sale manag at chamberlain auto, the dealership that promis to do ""whatev it takes"" to put you in a new car. but on a scorch hot saturday in the middl of the phoenix summer, mark ha a chanc to get hi own dealership - and out from under the thumb of hi father. mark ha to sell thirty-f car by the end of the day. the question: will mark do whatev it take - includ betray hi sale team and himself - to get what he wants? drama comedi patrick j. adam georg lopez nia vardalo adam colli"
60,Walk of Fame,a motley crew of aspir perform come under the guidanc of an eccentr and volatil act coach. comedi scott eastwood malcolm mcdowel chri kattan jess thoma
61,The Marine 5: Battleground,"while work as an emt back statesid jake carter after respond to a distress call, find himself caught up protect a person of interest from a biker gang ruthlessli hunt them down. action mike ""the miz"" mizanin marys ouellet mizanin curti axel jame nunn"
62,Ghost in the Shell,"in the year 2029, the barrier of our world have been broken down by the net and by cybernetics, but thi bring new vulner to human in the form of brain-hacking. when a highly-w hacker known as 'the puppetmaster' begin involv them in politics, section 9, a group of cybernet enhanc cops, are call in to investig and stop the puppetmaster. action anim scienc fiction scarlett johansson michael pitt pilou asbæk rupert sander"
63,The Boss Baby,the templeton brother — tim and hi boss babi littl bro ted — have becom adult and drift away from each other. but a new boss babi with a cutting-edg approach and a can-do attitud is about to bring them togeth again … and inspir a new famili business. anim comedi adventur famili alec baldwin steve buscemi jimmi kimmel tom mcgrath
64,The Zookeeper's Wife,"the account of keeper of the warsaw zoo, jan and antonina zabinski, who help save hundr of peopl and anim dure the nazi invasion. drama histori jessica chastain daniel brühl johan heldenbergh niki caro"
65,The Blackcoat's Daughter,"in the dead of winter, kat and rose, two veri differ girls, find themselv spend winter break at their prestigi prep school. what they don't know is that kat is be stalk by an evil entity, and their live are about to chang forever. meanwhile, joan, a young, troubl woman, make her way across a frozen landscap toward the school. but why? horror thriller emma robert kiernan shipka luci boynton oz perkin"
66,The Discovery,"in the near future, due to a breakthrough scientif discoveri by dr. thoma harbor, there is now definit proof of an afterlife. while countless peopl have chosen suicid to reset their existence, other tri to decid what it all means. among them is dr. harbor' son will, who ha arriv at hi father' isol compound with a mysteri young woman name isla. there, they discov the strang acolyt who help dr. harbor with hi experiments. drama romanc scienc fiction thriller mysteri jason segel rooney mara robert redford charli mcdowel"
67,Carrie Pilby,"awkward, isol and disapprov of most of the peopl around her, a precoci 19-year-old geniu is challeng to put her convict to the test by ventur out on to the nyc date scene, in thi adapt of caren lissner’ best-sel 2003 novel. comedi drama bel powley vanessa bayer colin o'donoghu susan johnson"
68,The Case for Christ,"base on the true stori of an award-win investig journalist -- and avow atheist -- who appli hi well-hon journalist and legal skill to disprov the newfound christian faith of hi wife... with unexpected, life-alt results. drama mike vogel erika christensen franki faison jon gunn"
69,Smurfs: The Lost Village,"in thi fulli animated, all-new take on the smurfs, a mysteri map set smurfett and her friend brainy, clumsi and hefti on an excit race through the forbidden forest lead to the discoveri of the biggest secret in smurf history. famili adventur anim comedi demi lovato mandi patinkin jack mcbrayer kelli asburi"
70,Going in Style,"desper to pay the bill and come through for their love ones, three lifelong pal risk it all by embark on a dare bid to knock off the veri bank that abscond with their money. crime comedi morgan freeman michael cain alan arkin zach braff"
71,Colossal,a woman discov that sever catastroph event are somehow connect to the mental breakdown from which she' suffering. drama fantasi scienc fiction ann hathaway jason sudeiki dan steven nacho vigalondo
72,Gifted,"frank, a singl man rais hi child prodigi niec mary, is drawn into a custodi battl with hi mother. famili drama comedi chri evan mckenna grace jenni slate marc webb"
73,Aftermath,"desper to save their marriage, a young coupl take a deal to move into their dream home, but disturb event reveal the house' troubl history. horror crime drama thriller arnold schwarzenegg scoot mcnairi maggi grace elliott lester"
74,The Fate of the Furious,"when a mysteri woman seduc dom into the world of crime and a betray of those closest to him, the crew face trial that will test them as never before. action crime thriller vin diesel dwayn johnson michel rodriguez f. gari gray"
75,Spark,"spark, a teenag monkey and hi friends, chunk and vix, are on a mission to regain planet bana - a kingdom overtaken by the evil overlord zhong. adventur anim comedi famili scienc fiction jace norman jessica biel susan sarandon aaron woodley"
76,The Lost City of Z,"a true-lif drama in the 1920s, center on british explor col. perci fawcett, who discov evid of a previous unknown, advanc civil in the amazon and disappear whilst search for it. adventur drama histori charli hunnam robert pattinson tom holland jame gray"
77,My Entire High School Sinking Into the Sea,"from acclaim graphic novelist dash shaw (new school) come an audaci debut that is equal part disast cinema, high school comedi and blockbust satire, told through a dream-lik mix media anim style that incorpor drawings, paint and collage. dash (jason schwartzman) and hi best friend assaf (reggi watts) are prepar for anoth year at tide high school muckrak on behalf of their widely-distribut but little-read school newspaper, edit by their friend verti (maya rudolph). but just when a blossom relationship between assaf and verti threaten to destroy the boys' friendship, dash learn of the administration' cover-up that put all the student in danger. hail as ""the most origin anim film of the year"" and ""john hugh for the adult swim generation"", the film' everyday concern of friendships, cliqu and young love remind us how the high school experi continu to shape who we become, even in the most unusu of circumstances. anim comedi drama jason schwartzman reggi watt lena dunham dash shaw"
78,The Outcasts,"after fall victim to a humili prank by the high school queen bee, best friend and world-class geeks, mindi and jodi, decid to get their reveng by unit the outcast of the school against her and her circl of friends. comedi victoria justic eden sher ashley rickard peter hutch"
79,Born in China,"ventur into the wild of china, ""born in china"" captur intim moment with a panda bear and her grow cub, a young golden monkey who feel displac by hi babi sister, and a mother snow leopard struggl to rais her two cubs. documentari john krasinski (narrator) lu chuan"
80,Unforgettable,"julia move in with her fiancé, david, but hi ex-wif and her own haunt past join forc to rock her quiet suburban existence. drama thriller katherin heigl rosario dawson geoff stult denis di novi"
81,The Promise,"set dure the last day of the ottoman empire, a love triangl develop between mikael, a brilliant medic student, the beauti and sophist artist ana, and chris, a renown american journalist base in paris. histori romanc drama oscar isaac charlott le bon christian bale terri georg"
82,The Circle,"a young tech worker take a job at a power internet corporation, quickli rise up the company' ranks, and soon find herself in a peril situat concern privacy, surveil and freedom. she come to learn that her decis and action will determin the futur of humanity. drama thriller scienc fiction dave egger (screenplay) tom hank emma watson john boyega jame ponsoldt"
83,How to Be a Latin Lover,an age latin lover get dump by hi sugar mama and must fend for himself in a harsh world. comedi eugenio derbez salma hayek raphael alejandro ken marino
84,Sleight,"a young street magician is left to take care of hi littl sister after hi mother' pass and turn to drug deal in the lo angel parti scene to keep a roof over their heads. when he get into troubl with hi supplier, hi sister is kidnap and he is forc to reli on both hi sleight of hand and brilliant mind to save her. drama thriller action scienc fiction jacob latimor seychel gabriel dulé hill j. d. dillard"
85,Becoming Bond,"the stranger-than-fict true stori of georg lazenby, a poor australian car mechan who, through an unbeliev set of circumstances, land the role of jame bond despit have never act a day in hi life. documentari comedi georg lazenbi josh lawson kassandra clementi josh greenbaum"
86,Guardians of the Galaxy Vol. 2,the guardian must fight to keep their newfound famili togeth as they unravel the mysteri of peter quill' true parentage. adventur action scienc fiction comedi chri pratt zoe saldana dave bautista jame gunn
87,The Lovers,"the lover is an epic romanc time travel adventur film. helm by roland joffé from a stori by ajey jhankar, the film is a sweep tale of an imposs love set against the backdrop of the first anglo-maratha war across two time period and contin and centr around four charact — a british offic in 18th centuri coloni india, the indian woman he fall deepli in love with, an american present-day marin biologist and hi wife. action adventur scienc fiction romanc debra winger traci lett aidan gillen azazel jacob"
88,3 Generations,"a teenag transit from femal to male, and hi famili must come to term with that fact. comedi drama naomi watt ell fan susan sarandon gabi dellal"
89,King Arthur: Legend of the Sword,"when the child arthur’ father is murdered, vortigern, arthur’ uncle, seiz the crown. rob of hi birthright and with no idea who he truli is, arthur come up the hard way in the back alley of the city. but onc he pull the sword excalibur from the stone, hi life is turn upsid down and he is forc to acknowledg hi true legacy... whether he like it or not. action drama fantasi charli hunnam jude law àstrid bergès-frisbey guy ritchi"
90,Snatched,"when her boyfriend dump emily, a spontan woman in her 30s, she persuad her ultra-cauti mom to accompani her on a vacat to ecuador. when these two veri differ women are trap on thi wild journey, their bond as mother and daughter is test and strengthen while they attempt to navig the jungl and escape. action comedi ami schumer goldi hawn christoph meloni jonathan levin"
91,Lowriders,"a young street artist in east lo angel is caught between hi father' obsess with lowrid car culture, hi ex-felon brother and hi need for self-expression. drama action crime demián bichir gabriel chavarria theo rossi ricardo de montreuil"
92,The Wall,an american sniper and hi spotter engag in a deadli cat-and-mous game with an iraqi sniper. thriller war drama aaron taylor-johnson john cena doug liman
93,Paris Can Wait,"a woman at a crossroad travel to cann along with her success film produc husband, find herself on a two-day road trip with hi busi associate. what follow is a carefre journey replet with divers involv picturesqu sites, fine food and wine, humor, wisdom and romanc - reawaken anne' sens and a new lust for life. comedi drama romanc dian lane alec baldwin arnaud viard eleanor coppola"
94,Alien: Covenant,"bound for a remot planet on the far side of the galaxy, the crew of the coloni ship 'covenant' discov what is thought to be an unchart paradise, but is actual a dark, danger world—which ha a sole inhabitant: the 'synthetic', david, survivor of the doom prometheu expedition. horror scienc fiction mysteri michael fassbend katherin waterston demián bichir ridley scott"
95,Diary of a Wimpy Kid: The Long Haul,a heffley famili road trip to attend meemaw' 90th birthday parti goe hilari off cours thank to greg' newest scheme to get to a video game convention. comedi famili jason ian drucker owen asztalo charli wright david bower
96,"Everything, Everything","a teenag who' live a shelter life becaus she' allerg to everything, fall for the boy who move in next door. drama romanc amandla stenberg nick robinson anika noni rose stella meghi"
97,Wakefield,a man' nervou breakdown caus him to leav hi wife and live in hi attic for sever months. drama bryan cranston jennif garner beverli d'angelo robin swicord
98,Baywatch,"devot lifeguard mitch buchannon butt head with a brash new recruit. together, they uncov a local crimin plot that threaten the futur of the bay. comedi action crime dwayn johnson zac efron priyanka chopra seth gordon"
99,Pirates of the Caribbean: Dead Men Tell No Tales,"thrust into an all-new adventure, a down-on-his-luck capt. jack sparrow feel the wind of ill-fortun blow even more strongli when deadli ghost sailor led by hi old nemesis, the evil capt. salazar, escap from the devil' triangle. jack' onli hope of surviv lie in seek out the legendari trident of poseidon, but to find it, he must forg an uneasi allianc with a brilliant and beauti astronom and a headstrong young man in the british navy. adventur action fantasi johnni depp javier bardem geoffrey rush joachim rønning espen sandberg"
100,Buena Vista Social Club: Adios,"in 1996, cuban bandlead juan de marco gonzalez, british produc nick gold, and american guitarist ry cooder conven in havana to produc a cuban-malian collaboration. when the malian couldn’t get visas, the team turn their attent to reviv a forgotten gener of legendari son cubano musician and form an on-the-fli ensemble: the buena vista social club. two decad sinc that fate first session, we catch up to these master musicians, as they reflect on the magic unfold of their lives—from humbl origin to the evolut and surpris reviv of their careers, all against the backdrop of cuba’ dramat history. brim with unseen concert, rehearsal, and archiv footage, thi film is an emotional, shimmer celebr of music’ power to transcend age, ideologies, and class, and to connect us to each other through our souls. documentari music luci walker (director) luci walker"
101,War Machine,a rock star gener bent on win the “impossible” war in afghanistan take us insid the complex machineri of modern war. inspir by the true stori of gener stanley mcchrystal. comedi drama war brad pitt anthoni michael hall topher grace david michôd
102,Wonder Woman,a botch store robberi place wonder woman in a global battl against a power and mysteri ancient forc that put her power in jeopardy. action adventur fantasi gal gadot chri pine conni nielsen patti jenkin
103,Captain Underpants: The First Epic Movie,"two mischiev kid hypnot their mean elementari school princip and turn him into their comic book creation, the kind-heart and elastic-band captain underpants. famili action anim comedi kevin hart ed helm thoma middleditch david soren"
104,Dean,"the man behind the legend and a know look at the 1950' hollywood are reveal in thi dynam bioepic of the meteor star whose troubl life echo hi gut-grab perform in east of eden, rebel without a caus and giant. drama tv movi demetri martin kevin kline gillian jacob demetri martin"
105,The Mummy,dash legionnair rick o'connel stumbl upon the hidden ruin of hamunaptra while in the midst of a battl to claim the area in 1920 egypt. it ha been over three thousand year sinc former high priest imhotep suffer a fate wors than death as a punish for a forbidden love—along with a curs that guarante etern doom upon the world if he is ever awoken. adventur action fantasi tom cruis russel crow sofia boutella alex kurtzman
106,It Comes at Night,"secur within a desol home as an unnatur threat terror the world, a man ha establish a tenuou domest order with hi wife and son, but thi will soon be put to test when a desper young famili arriv seek refuge. drama horror mysteri joel edgerton riley keough christoph abbott trey edward shult"
107,My Cousin Rachel,"a young englishman plot reveng against hi mysterious, beauti cousin, believ that she murder hi guardian. but hi feel becom complic as he find himself fall under the beguil spell of her charms. drama romanc rachel weisz sam claflin iain glen roger michel"
108,Megan Leavey,"the true stori of marin corpor megan leavey, who form a power bond with an aggress combat dog, rex. while deploy in iraq, the two complet more than 100 mission and save countless lives, until an i explos put their faith to the test. drama war kate mara edi falco common gabriela cowperthwait"
109,Beatriz at Dinner,"beatriz, an immigr from a poor town in mexico, ha drawn on her innat kind to build a career as a health practitioner. doug strutt is a cutthroat, self-satisfi billionaire. when these two opposit meet at a dinner party, their world collide, and neither will ever be the same. comedi drama salma hayek chloë sevigni conni britton miguel arteta"
110,Cars 3,"blindsid by a new gener of blazing-fast racers, the legendari lightn mcqueen is suddenli push out of the sport he loves. to get back in the game, he will need the help of an eager young race technician with her own plan to win, inspir from the late fabul hudson hornet, and a few unexpect turns. prove that #95 isn't through yet will test the heart of a champion on piston cup racing’ biggest stage! anim adventur comedi famili owen wilson cristela alonzo chri cooper brian fee"
111,Rough Night,"five best friend from colleg reunit 10 year later for a wild bachelorett weekend in miami. their hard parti take a hilari dark turn when they accident kill a male stripper. amidst the crazi of tri to cover it up, they'r ultim brought closer togeth when it matter most. drama comedi scarlett johansson zoë kravitz kate mckinnon lucia aniello"
112,All Eyez on Me,"all eyez on me chronicl the life and legaci of tupac shakur, includ hi rise to superstardom as a hip-hop artist, actor, poet and activist, as well as hi imprison and prolific, controversi time at death row records. against insurmount odds, tupac rose to becom a cultur icon whose career and persona both continu to grow long after hi passing. music drama demetriu shipp jr. kat graham lauren cohan benni boom"
113,47 Meters Down,"two sister on mexican vacat are trap in a shark observ cage at the bottom of the ocean, with oxygen run low and great white circl nearby, they have less than an hour of air left to figur out how to get to the surface. horror drama thriller adventur mandi moor clair holt matthew modin johann robert"
